image_id,rig_frame_id,camera,timestamp_ns,capture_fraction,split_v9,battery_member,battery_faces,tile_ids,environment,lidar_ceiling_pts,lidar_wall_sectors,stationary,x_m,y_m,z_m,pose_source
img_313927f8276bed83888b9791,rig_7a24f47d6c5ebd963de0ca67,right,1772726380342686976,0.0,train,True,yaw_minus_35,0|1|2|3,stationary_unresolved,1075,8,True,0.9561,0.1782,0.2842,accepted_independent_pos_prior_at
img_17a66f4cb62764dda6efae60,rig_7a24f47d6c5ebd963de0ca67,left,1772726380342691072,0.0,train,True,yaw_minus_35,2|3,stationary_unresolved,1075,8,True,0.9561,0.1782,0.2842,accepted_independent_pos_prior_at
img_1f7cf648acdfeca84393921f,rig_09c06411065d337169b08361,right,1772726380842701056,0.0023,train,True,pitch_up_56,0|1|2|3,stationary_unresolved,1075,8,True,0.9564,0.1786,0.2841,accepted_independent_pos_prior_at
img_7a23a6f62591d19f1c74cf07,rig_09c06411065d337169b08361,left,1772726380842704896,0.0023,train,False,,2|3,stationary_unresolved,1075,8,True,0.9564,0.1786,0.2841,accepted_independent_pos_prior_at
img_8448119d6dd039f747f28fad,rig_51dfbc6b06cba9f68f051556,right,1772726381342714112,0.0045,train,False,,0|1|2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.2841,accepted_independent_pos_prior_at
img_643bc25ba5ac556419308dce,rig_51dfbc6b06cba9f68f051556,left,1772726381342716928,0.0045,train,True,yaw_plus_35,2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.2841,accepted_independent_pos_prior_at
img_44688fc19520c97f04987182,rig_b9fca3f358eac23d79418554,right,1772726381842702848,0.0068,train,True,yaw_plus_35,0|1|2|3,stationary_unresolved,1075,8,True,0.9564,0.1785,0.2841,accepted_independent_pos_prior_at
img_7cff19823ca3910b18ba5ea2,rig_b9fca3f358eac23d79418554,left,1772726381842718720,0.0068,train,True,yaw_minus_35,2|3,stationary_unresolved,1075,8,True,0.9564,0.1785,0.2841,accepted_independent_pos_prior_at
img_4a2e56357884866047e5d674,rig_47dce3c32d0c6bb0b1551710,right,1772726382342784768,0.009,train,True,pitch_up_56,0|1|2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.2841,accepted_independent_pos_prior_at
img_6f4375e52569cc403f7728ef,rig_47dce3c32d0c6bb0b1551710,left,1772726382342788096,0.009,train,True,pitch_down_56,2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.2841,accepted_independent_pos_prior_at
img_5f8884d4e0886ce2c7c3329d,rig_ffc55ff4cebb277e5037350b,right,1772726382842777856,0.0113,train,True,pitch_up_56,0|1|2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.284,accepted_independent_pos_prior_at
img_cee8a0fda1c15d318c63755c,rig_ffc55ff4cebb277e5037350b,left,1772726382842792960,0.0113,train,True,yaw_minus_35,2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.284,accepted_independent_pos_prior_at
img_246e9ec9e0ed774cd0cbefb4,rig_3fcd9fae7198946570f03492,right,1772726383342850816,0.0136,train,False,,0|1|2|3,stationary_unresolved,1075,8,True,0.9564,0.1786,0.2841,accepted_independent_pos_prior_at
img_b315a63daceac938b89018f5,rig_3fcd9fae7198946570f03492,left,1772726383342854144,0.0136,train,False,,2|3,stationary_unresolved,1075,8,True,0.9564,0.1786,0.2841,accepted_independent_pos_prior_at
img_0808a922b5bfb00ee7a01908,rig_883a4ebb7e6586e4fd3b4547,right,1772726383842921984,0.0158,train,False,,0|1|2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.2841,accepted_independent_pos_prior_at
img_17bf1628f94e193f3c3d8235,rig_883a4ebb7e6586e4fd3b4547,left,1772726383842925056,0.0158,train,True,pitch_down_56,2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.2841,accepted_independent_pos_prior_at
img_50b466a226a3e1103ba42d6f,rig_4d16d7410b532f5a8e99b5f1,right,1772726384342926080,0.0181,train,False,,0|1|2|3,stationary_unresolved,1075,8,True,0.9564,0.1786,0.2841,accepted_independent_pos_prior_at
img_a6a68e03d00b4ed4df22aa71,rig_4d16d7410b532f5a8e99b5f1,left,1772726384342942976,0.0181,train,True,pitch_down_56,2|3,stationary_unresolved,1075,8,True,0.9564,0.1786,0.2841,accepted_independent_pos_prior_at
img_5f5029f3630b2fb09e6d6efa,rig_44024581676052797570e8d0,right,1772726384842983936,0.0204,train,False,,0|1|2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.2841,accepted_independent_pos_prior_at
img_dd9664454cab0177d97f0316,rig_44024581676052797570e8d0,left,1772726384842999808,0.0204,train,False,,2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.2841,accepted_independent_pos_prior_at
img_5563e8df2be4dc830dc08c92,rig_3001c1810024c616a028c6a1,right,1772726385343024896,0.0226,train,True,yaw_plus_35,0|1|2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.2841,accepted_independent_pos_prior_at
img_c31546b9726699e2c2a82906,rig_3001c1810024c616a028c6a1,left,1772726385343041024,0.0226,train,True,pitch_down_56,2|3,stationary_unresolved,1075,8,True,0.9564,0.1787,0.2841,accepted_independent_pos_prior_at
img_998fac7e5f651da4c2cd8d17,rig_8376cf6ed2d267b6372abc97,right,1772726385843104768,0.0249,train,True,pitch_up_56,0|1|2|3,stationary_unresolved,1075,8,True,0.9565,0.1787,0.2841,accepted_independent_pos_prior_at
img_d73f523f6c5e437eb0a0a82f,rig_8376cf6ed2d267b6372abc97,left,1772726385843107840,0.0249,train,False,,2|3,stationary_unresolved,1075,8,True,0.9565,0.1787,0.2841,accepted_independent_pos_prior_at
img_4bdcc685ea71836c64354033,rig_0c0fa752260adc2d7d42204f,right,1772726386343086080,0.0271,train,False,,0|1|2|3,stationary_unresolved,1075,8,True,0.9566,0.1788,0.2841,accepted_independent_pos_prior_at
img_7ce79754f20b04e0897c295c,rig_0c0fa752260adc2d7d42204f,left,1772726386343101952,0.0271,train,False,,2|3,stationary_unresolved,1075,8,True,0.9566,0.1788,0.2841,accepted_independent_pos_prior_at
img_80940ca2f4c06ff631233746,rig_06b48d05e685561591643b16,right,1772726386843112960,0.0294,train,False,,0|1|2|3,stationary_unresolved,1075,8,True,0.9566,0.1786,0.2842,accepted_independent_pos_prior_at
img_a9080d3bc1d37c269cf33d87,rig_06b48d05e685561591643b16,left,1772726386843129856,0.0294,train,True,pitch_up_56,2|3,stationary_unresolved,1075,8,True,0.9566,0.1786,0.2842,accepted_independent_pos_prior_at
img_7cbdf15076430dd9350f81b8,rig_0ef9dbc241cdbcffd9ef8830,right,1772726387343147008,0.0317,train,True,yaw_plus_35,0|1|2|3,stationary_unresolved,1075,8,True,0.9566,0.1787,0.2841,accepted_independent_pos_prior_at
img_f06c118891312ac9fdda5367,rig_0ef9dbc241cdbcffd9ef8830,left,1772726387343162112,0.0317,train,False,,2|3,stationary_unresolved,1075,8,True,0.9566,0.1787,0.2841,accepted_independent_pos_prior_at
img_4e3d57a9706d9cb78afd5c41,rig_fcb5e5bc6e447db8fc1d90a4,right,1772726387843228928,0.0339,train,True,pitch_down_56,0|1|2|3,stationary_unresolved,1075,8,True,0.9566,0.1786,0.2842,accepted_independent_pos_prior_at
img_00ef5ab491af9d423626e07b,rig_fcb5e5bc6e447db8fc1d90a4,left,1772726387843232000,0.0339,train,True,yaw_minus_35,2|3,stationary_unresolved,1075,8,True,0.9566,0.1786,0.2842,accepted_independent_pos_prior_at
img_39a06855544f8de8351e1656,rig_a33a8865eb8de38ea721d39e,right,1772726388343209984,0.0362,train,False,,0|1|2|3,stationary_unresolved,1075,8,True,0.9566,0.1788,0.2842,accepted_independent_pos_prior_at
img_c326b2f0fdca6a85fe5d45f5,rig_a33a8865eb8de38ea721d39e,left,1772726388343225856,0.0362,train,False,,2|3,stationary_unresolved,1075,8,True,0.9566,0.1788,0.2842,accepted_independent_pos_prior_at
img_cd4571ad8de26172a08ecd80,rig_32f3e003a2a8f07e44263418,right,1772726388843239936,0.0385,train,True,yaw_plus_35,0|1|2|3,indoor,1074,8,False,0.9609,0.1796,0.2871,accepted_independent_pos_prior_at
img_528ff619306a8c9703bb57a9,rig_32f3e003a2a8f07e44263418,left,1772726388843257856,0.0385,train,True,pitch_up_56,2|3,indoor,1074,8,False,0.9609,0.1796,0.2871,accepted_independent_pos_prior_at
img_f2e31727fc02a2394640f8b4,rig_98874fa67831ae4f824c36f3,right,1772726389343258880,0.0407,train,False,,0|1|2|3,indoor,257,8,False,0.9515,0.1817,0.379,accepted_independent_pos_prior_at
img_2d4e13c684e33e7f3276e86f,rig_98874fa67831ae4f824c36f3,left,1772726389343275008,0.0407,train,False,,2|3,indoor,257,8,False,0.9515,0.1817,0.379,accepted_independent_pos_prior_at
img_1a415e4ff347474b2fe0e6fd,rig_38eb9f77a7130dc9f18b2333,right,1772726389843281920,0.043,train,False,,0|1|2|3,outdoor,0,6,False,0.8903,0.1781,0.5834,accepted_independent_pos_prior_at
img_d9e667f8ffbba146e74d55f3,rig_38eb9f77a7130dc9f18b2333,left,1772726389843298048,0.043,train,True,pitch_up_56,2|3,outdoor,0,6,False,0.8903,0.1781,0.5834,accepted_independent_pos_prior_at
img_77ed34b0126642eb21004da8,rig_cadcf89307b35ca8d6de3827,right,1772726390343308032,0.0452,train,True,pitch_up_56,0|1|2|3,outdoor,0,5,False,0.7439,0.1926,0.9011,accepted_independent_pos_prior_at
