config,source,step,kind,grow,cull,reset,cull_opacity_threshold,threshold_phase
tile0_R1_range0_20k,repo,500,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,600,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,700,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,800,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,900,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,1000,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,1100,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,1200,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,1300,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,1400,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,1500,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,1600,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,1700,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,1800,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,1900,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,2000,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,2100,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,2200,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,2300,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,2400,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,2500,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,2600,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,2700,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,2800,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,2900,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,3000,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,3100,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,3200,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,3300,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,3400,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,3500,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,3600,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,3700,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,3800,refine,1,1,0,0.1,early
tile0_R1_range0_20k,repo,3900,refine,1,1,1,0.1,early
tile0_R1_range0_20k,repo,4000,refine,1,1,0,0.1,early
