region,tile,region_status,x,y,z,n_images_fisheye,n_images_face,n_views_loose_ok,n_effective_views,n_effective_views_le5m,n_strict_occluded,n_strict_supported,n_strict_behind,strict_frac_occluded,strict_support_frac,n_cameras,n_rig_frames,time_span_s,angle_span_deg,range_min_m,range_median_m,footprint_px_per_m_fisheye,footprint_px_per_m_face,n_occluded,n_depth_supported,n_lidar_behind,n_no_lidar,frac_occluded,depth_support_frac,rgb_valid_frac,sharpness_lapvar_median,sharpness_lapvar_best,sharpness_best_image,luma_mean_median,luma_min,luma_max,luma_cv_across_views,sharpness_lapvar_min
indoor_door_leaf_Tile_1,Tile_1,provisional,6.028,-2.258,1.606,610,446,158,114,33,329,115,0,0.740991,0.257848,2,104,155.01,179.127,0.48934,5.92047,153.059,188.377,284,160,0,2,0.63964,0.358744,0.991031,338.545,2764.04,img_98bb570ecf462a8b29f1009a,58.47,33.0237,160.799,0.449144,23.085
indoor_door_leaf_Tile_1,Tile_1,provisional,6.138,-2.441,1.615,607,450,145,56,40,389,57,1,0.872197,0.126667,2,56,176.011,178.865,0.875266,3.0736,274.524,357.898,300,146,1,3,0.672646,0.324444,0.982222,363.02,1016.52,img_4e61dfa73359cbec43694b5d,128.2,24.7117,181.249,0.341763,23.7658
indoor_door_leaf_Tile_1,Tile_1,provisional,6.308,-2.273,1.611,612,450,160,125,34,321,126,1,0.718121,0.28,2,115,155.01,178.574,0.513366,6.31368,149.009,184.877,287,161,0,2,0.640625,0.357778,0.984444,441.843,2540.24,img_98bb570ecf462a8b29f1009a,56.2163,23.3933,147.627,0.436386,26.0415
indoor_door_leaf_Tile_1,Tile_1,provisional,6.289,-2.279,1.617,612,449,153,123,34,322,124,0,0.721973,0.276169,2,113,155.01,178.661,0.52429,6.00964,149.456,185.932,292,154,0,3,0.654709,0.342984,0.986637,436.82,2118.6,img_f1799d46a7022022561e4cd1,56.5801,22.2939,151.378,0.445634,24.4562
indoor_door_leaf_Tile_1,Tile_1,provisional,6.308,-2.461,1.622,609,455,143,63,38,385,63,0,0.859375,0.138462,2,63,175.511,178.654,0.774155,3.14535,276.78,354.291,303,145,0,7,0.676339,0.318681,0.975824,435.13,846.363,img_443900e4c8ed5b29fb38d36a,141.039,22.2749,234.154,0.450527,23.9613
indoor_door_leaf_Tile_1,Tile_1,provisional,6.001,-2.546,1.628,603,453,136,50,44,393,50,0,0.887133,0.110375,2,50,129.508,178.743,0.769543,2.9804,308.199,415.559,305,138,0,10,0.688488,0.304636,0.96468,397.485,1375.38,img_50788709c27115356ae913b1,117.871,23.4038,189.062,0.328857,122.204
indoor_door_leaf_Tile_1,Tile_1,provisional,6.239,-2.274,1.639,611,449,156,123,34,323,123,0,0.724215,0.273942,2,112,155.01,178.274,0.52603,6.05943,150.616,187.971,290,156,0,3,0.650224,0.347439,0.988864,406.032,2218.7,img_f1799d46a7022022561e4cd1,56.6577,21.7273,158.973,0.460908,18.0815
indoor_door_leaf_Tile_1,Tile_1,provisional,6.386,-2.281,1.649,613,449,156,128,35,320,128,0,0.714286,0.285078,2,118,155.01,177.878,0.52668,6.1038,148.324,189.205,291,157,0,1,0.649554,0.349666,0.993318,449.425,2461.24,img_98bb570ecf462a8b29f1009a,56.5995,23.2104,159.15,0.454933,26.5452
indoor_door_leaf_Tile_1,Tile_1,provisional,6.09,-2.441,1.653,605,449,143,56,40,390,57,0,0.872483,0.126949,2,55,179.011,179.31,0.859802,3.10087,279.825,359.532,303,144,0,2,0.677852,0.320713,0.988864,298.716,1014.31,img_0ea21c0b2a26ae88b3f41c1b,125.931,31.5974,185.854,0.34517,23.016
indoor_door_leaf_Tile_1,Tile_1,provisional,6.328,-2.279,1.657,612,449,156,126,34,320,126,0,0.717489,0.280624,2,116,155.01,177.917,0.531831,6.09888,149.133,187.06,290,156,0,3,0.650224,0.347439,0.986637,436.668,2523.1,img_98bb570ecf462a8b29f1009a,56.9042,23.9585,148.576,0.438259,23.4011
indoor_door_leaf_Tile_1,Tile_1,provisional,6.248,-2.272,1.657,610,448,159,124,34,322,124,0,0.721973,0.276786,2,113,155.01,177.956,0.534339,6.12745,150.19,187.974,287,159,0,2,0.643498,0.354911,0.991071,420.425,2628.3,img_98bb570ecf462a8b29f1009a,56.786,21.2122,158.569,0.459257,18.4984
indoor_door_leaf_Tile_1,Tile_1,provisional,6.229,-2.275,1.662,611,449,162,125,34,322,125,0,0.720358,0.278396,2,114,155.01,177.794,0.534658,6.1849,150.265,188.137,285,162,0,2,0.637584,0.360802,0.988864,399.634,2628.3,img_98bb570ecf462a8b29f1009a,56.9275,21.4309,159.795,0.457065,18.6196
indoor_door_leaf_Tile_1,Tile_1,provisional,6.043,-2.258,1.667,609,445,164,109,26,325,111,7,0.745413,0.249438,2,99,155.01,178.018,1.16006,6.11092,144.251,187.872,277,160,6,2,0.633867,0.359551,0.986517,393.66,2802.57,img_98bb570ecf462a8b29f1009a,58.5073,29.9644,156.002,0.381938,25.5491
indoor_door_leaf_Tile_1,Tile_1,provisional,6.231,-2.447,1.681,608,450,150,65,40,381,66,1,0.852349,0.146667,2,65,175.511,179.869,0.712214,3.06554,273.525,346.88,296,151,1,2,0.662192,0.335556,0.984444,290.09,1096.43,img_443900e4c8ed5b29fb38d36a,141.223,23.3872,227.4,0.440152,9.58546
indoor_door_leaf_Tile_1,Tile_1,provisional,6.356,-2.273,1.681,612,449,163,124,32,320,124,2,0.720721,0.276169,2,114,155.01,177.524,0.612426,6.19341,148.474,186.925,283,162,1,3,0.635955,0.360802,0.991091,435.634,2567.75,img_98bb570ecf462a8b29f1009a,56.9709,23.2505,151.492,0.42814,35.7781
indoor_door_leaf_Tile_1,Tile_1,provisional,6.046,-2.437,1.689,604,449,142,57,39,386,59,2,0.867416,0.131403,2,57,179.011,179.773,1.6306,3.13527,270.097,348.159,303,142,2,2,0.680899,0.316258,0.986637,248.394,1116.29,img_441e03f73d0b76f84c505db3,122.209,31.1619,185.667,0.365149,10.507
indoor_door_leaf_Tile_1,Tile_1,provisional,6.353,-2.46,1.692,607,451,142,59,35,389,60,0,0.86637,0.133038,2,59,175.011,179.708,0.710493,2.97712,280.201,359.551,306,143,0,2,0.681514,0.317073,0.984479,322.569,940.415,img_9eeaefa15ae4a16e7247811e,142.21,20.9878,240.219,0.46871,6.18392
indoor_door_leaf_Tile_1,Tile_1,provisional,6.158,-2.265,1.69,611,449,162,124,33,322,124,0,0.721973,0.276169,2,113,155.01,177.144,0.528693,6.18926,147.825,186.421,284,162,0,3,0.636771,0.360802,0.986637,416.737,3018.63,img_5e80513ffc34b6196a43e365,57.9932,23.0757,154.322,0.438073,43.3746
indoor_door_leaf_Tile_1,Tile_1,provisional,6.086,-2.263,1.692,609,445,165,121,33,320,122,0,0.723982,0.274157,2,111,155.01,177.269,0.52658,5.99754,148.766,188.565,276,166,0,3,0.624434,0.373034,0.988764,413.427,2797.55,img_98bb570ecf462a8b29f1009a,58.615,28.4053,154.256,0.424632,40.6467
indoor_door_leaf_Tile_1,Tile_1,provisional,6.089,-2.262,1.702,609,445,162,122,33,319,123,0,0.721719,0.276404,2,112,155.01,177.078,0.530867,6.05796,147.876,188.615,279,163,0,3,0.631222,0.366292,0.988764,401.127,2788.02,img_98bb570ecf462a8b29f1009a,58.7925,22.6885,154.722,0.428525,46.8401
indoor_door_leaf_Tile_1,Tile_1,provisional,6.233,-2.275,1.712,610,447,165,122,30,320,122,3,0.723982,0.272931,2,111,155.01,176.91,0.843934,6.30131,148.351,186.438,280,163,2,2,0.632054,0.364653,0.991051,441.913,2640.81,img_98bb570ecf462a8b29f1009a,57.2943,20.5808,160.774,0.427883,49.1087
indoor_door_leaf_Tile_1,Tile_1,provisional,6.139,-2.442,1.715,606,449,135,51,32,392,51,2,0.884876,0.113586,2,51,175.511,178.286,1.5847,3.07953,270.616,344.562,310,133,2,4,0.699774,0.296214,0.986637,271.905,608.407,img_0ea21c0b2a26ae88b3f41c1b,133.409,21.4231,197.999,0.42501,26.7878
indoor_door_leaf_Tile_1,Tile_1,provisional,6.288,-2.281,1.718,610,448,162,125,34,320,126,0,0.717489,0.28125,2,115,155.01,176.977,0.56573,6.11671,149.331,187.685,283,163,0,2,0.634529,0.363839,0.993304,418.552,2391.07,img_f1799d46a7022022561e4cd1,57.2522,20.9648,154.686,0.444518,50.893
indoor_door_leaf_Tile_1,Tile_1,provisional,6.137,-2.261,1.718,611,447,165,125,33,319,125,0,0.718468,0.279642,2,114,155.01,176.703,0.538896,6.15476,146.368,188.069,279,165,0,3,0.628378,0.369128,0.98434,428.446,3048.3,img_5e80513ffc34b6196a43e365,58.4185,23.4915,155.104,0.432371,58.1825
indoor_door_leaf_Tile_1,Tile_1,provisional,6.011,-2.256,1.729,609,442,166,119,32,320,119,0,0.728929,0.269231,2,109,155.01,177.008,0.549648,5.9858,148.596,190.351,273,166,0,3,0.621868,0.375566,0.993213,395.295,2747.73,img_f1799d46a7022022561e4cd1,59.5996,21.6792,163.41,0.447066,32.0361
indoor_door_leaf_Tile_1,Tile_1,provisional,6.296,-2.448,1.754,608,451,149,64,36,381,65,0,0.85426,0.144124,2,64,175.511,179.086,0.740871,3.0101,278.113,353.278,295,151,0,5,0.661435,0.334812,0.982262,319.903,863.345,img_8a5782154627496067ab070d,131.995,20.2117,181.459,0.458893,72.5208
