region,feature,point_world,image_id,camera,face,timestamp_ns,range_m,lidar_status,px_per_m_fisheye,px_per_m_face,face_px_per_source_px,fisheye_px,face_px,face_window_u0v0,source_window_xy_size,b_minus_c_max_abs,b_minus_c_mean_abs,b_minus_c_frac_gt1,png,variant,crop_size_px,edge_width_px,edge_contrast,edge_count,noise_std,noise_patch_mean,noise_patch_xy,sat_hi_frac,sat_lo_frac,mean_luma,anchor_edge_offset_px,anchor_edge_offset_mm,edge_width_mm
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_40f2bb33f03616da71c7aa76,right,yaw_plus_35,1772726536352324864,0.518,supported,1711.85,2051.01,0.851,"2052.7,1355.3","856.3,1345.8","728,1217","1945,1248,214",0.501,0.2054,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_40f2bb33f03616_right_yaw_plus_35.png,a,214,1.25,75.4581,5,0.0,255.0,"192,176",0.0706,0.0,180.7078,42.6085,24.8903,0.73
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_40f2bb33f03616da71c7aa76,right,yaw_plus_35,1772726536352324864,0.518,supported,1711.85,2051.01,0.851,"2052.7,1355.3","856.3,1345.8","728,1217","1945,1248,214",0.501,0.2054,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_40f2bb33f03616_right_yaw_plus_35.png,b_bilinear,256,1.5,75.6548,5,0.0,255.0,"240,152",0.0685,0.0,180.58,24.1977,11.798,0.73
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_40f2bb33f03616da71c7aa76,right,yaw_plus_35,1772726536352324864,0.518,supported,1711.85,2051.01,0.851,"2052.7,1355.3","856.3,1345.8","728,1217","1945,1248,214",0.501,0.2054,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_40f2bb33f03616_right_yaw_plus_35.png,b_cubic,256,1.25,75.6309,5,0.0,255.0,"240,216",0.0688,0.0,180.5816,24.1977,11.798,0.61
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_40f2bb33f03616da71c7aa76,right,yaw_plus_35,1772726536352324864,0.518,supported,1711.85,2051.01,0.851,"2052.7,1355.3","856.3,1345.8","728,1217","1945,1248,214",0.501,0.2054,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_40f2bb33f03616_right_yaw_plus_35.png,c,256,1.5,75.7151,5,0.0,255.0,"240,152",0.0686,0.0,180.5805,24.1977,11.798,0.73
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_b831b33deb3ad98c70a7934d,left,yaw_minus_35,1772726543852691968,2.162,supported,465.66,725.07,1.06,"519.7,1917.2","53.8,2027.5","0,1899","437,1835,164",0.501,0.2353,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_b831b33deb3ad9_left_yaw_minus_35.png,a,164,1.75,88.9843,5,0.8589,218.5749,"112,48",0.1621,0.0,194.8274,3.903,8.3817,3.76
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_b831b33deb3ad98c70a7934d,left,yaw_minus_35,1772726543852691968,2.162,supported,465.66,725.07,1.06,"519.7,1917.2","53.8,2027.5","0,1899","437,1835,164",0.501,0.2353,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_b831b33deb3ad9_left_yaw_minus_35.png,b_bilinear,256,2.75,117.7862,5,0.5516,216.895,"152,168",0.1458,0.0,180.3739,8.7901,12.1231,3.79
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_b831b33deb3ad98c70a7934d,left,yaw_minus_35,1772726543852691968,2.162,supported,465.66,725.07,1.06,"519.7,1917.2","53.8,2027.5","0,1899","437,1835,164",0.501,0.2353,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_b831b33deb3ad9_left_yaw_minus_35.png,b_cubic,256,2.75,117.9535,5,0.6771,217.6349,"176,208",0.1495,0.0,180.3733,12.8176,17.6778,3.79
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_b831b33deb3ad98c70a7934d,left,yaw_minus_35,1772726543852691968,2.162,supported,465.66,725.07,1.06,"519.7,1917.2","53.8,2027.5","0,1899","437,1835,164",0.501,0.2353,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_b831b33deb3ad9_left_yaw_minus_35.png,c,256,2.75,117.5755,5,0.6161,217.6131,"176,208",0.1488,0.0,180.3742,8.7901,12.1231,3.79
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_426186dbb8206cf129f21911,right,yaw_plus_35,1772726535852211968,0.553,supported,1606.66,2201.79,0.975,"1930.2,1063.1","741.8,962.6","613,834","1837,970,187",0.502,0.237,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_426186dbb8206c_right_yaw_plus_35.png,a,187,10.0,47.9261,5,0.8435,180.8006,"0,72",0.0,0.0,155.177,23.8287,14.8312,6.22
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_426186dbb8206cf129f21911,right,yaw_plus_35,1772726535852211968,0.553,supported,1606.66,2201.79,0.975,"1930.2,1063.1","741.8,962.6","613,834","1837,970,187",0.502,0.237,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_426186dbb8206c_right_yaw_plus_35.png,b_bilinear,256,4.75,58.3335,5,0.5848,180.6509,"8,80",0.0,0.0,155.554,15.0514,6.836,2.16
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_426186dbb8206cf129f21911,right,yaw_plus_35,1772726535852211968,0.553,supported,1606.66,2201.79,0.975,"1930.2,1063.1","741.8,962.6","613,834","1837,970,187",0.502,0.237,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_426186dbb8206c_right_yaw_plus_35.png,b_cubic,256,9.5,59.6355,5,0.6875,180.6365,"8,80",0.0,0.0,155.5511,15.0514,6.836,4.31
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_426186dbb8206cf129f21911,right,yaw_plus_35,1772726535852211968,0.553,supported,1606.66,2201.79,0.975,"1930.2,1063.1","741.8,962.6","613,834","1837,970,187",0.502,0.237,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_426186dbb8206c_right_yaw_plus_35.png,c,256,4.75,58.4751,5,0.6498,180.6404,"8,80",0.0,0.0,155.5539,15.0514,6.836,2.16
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_a6e40bded3c9f2217bdca885,left,yaw_minus_35,1772726544352721920,2.172,supported,451.46,634.23,0.994,"621.2,1865.2","235.7,1951.5","107,1823","530,1774,182",0.502,0.2219,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_a6e40bded3c9f2_left_yaw_minus_35.png,a,182,1.5,108.7756,5,0.4634,254.8048,"24,8",0.2906,0.0,203.0756,7.136,15.8064,3.32
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_a6e40bded3c9f2217bdca885,left,yaw_minus_35,1772726544352721920,2.172,supported,451.46,634.23,0.994,"621.2,1865.2","235.7,1951.5","107,1823","530,1774,182",0.502,0.2219,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_a6e40bded3c9f2_left_yaw_minus_35.png,b_bilinear,256,2.5,103.343,5,0.0618,254.9908,"64,32",0.2953,0.0,207.216,10.5169,16.5821,3.94
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_a6e40bded3c9f2217bdca885,left,yaw_minus_35,1772726544352721920,2.172,supported,451.46,634.23,0.994,"621.2,1865.2","235.7,1951.5","107,1823","530,1774,182",0.502,0.2219,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_a6e40bded3c9f2_left_yaw_minus_35.png,b_cubic,256,2.0,103.2498,5,0.0706,254.9938,"64,32",0.3041,0.0,207.2186,10.5169,16.5821,3.15
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_a6e40bded3c9f2217bdca885,left,yaw_minus_35,1772726544352721920,2.172,supported,451.46,634.23,0.994,"621.2,1865.2","235.7,1951.5","107,1823","530,1774,182",0.502,0.2219,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_a6e40bded3c9f2_left_yaw_minus_35.png,c,256,2.5,103.4404,5,0.0728,254.994,"64,32",0.3034,0.0,207.2188,10.5169,16.5821,3.94
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_6016a762546377de75ffa928,right,yaw_plus_35,1772726531852012800,0.778,supported,1242.19,1763.87,1.006,"2206.2,990.7","1123.6,894.5","995,766","2116,900,180",0.501,0.2392,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_6016a762546377_right_yaw_plus_35.png,a,180,2.25,73.2327,5,1.4452,206.4349,"0,0",0.0,0.0,134.9486,13.4866,10.8571,1.81
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_6016a762546377de75ffa928,right,yaw_plus_35,1772726531852012800,0.778,supported,1242.19,1763.87,1.006,"2206.2,990.7","1123.6,894.5","995,766","2116,900,180",0.501,0.2392,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_6016a762546377_right_yaw_plus_35.png,b_bilinear,256,2.75,81.2417,5,0.7713,139.6386,"176,88",0.0,0.0,138.3551,16.2584,9.2175,1.56
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_6016a762546377de75ffa928,right,yaw_plus_35,1772726531852012800,0.778,supported,1242.19,1763.87,1.006,"2206.2,990.7","1123.6,894.5","995,766","2116,900,180",0.501,0.2392,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_6016a762546377_right_yaw_plus_35.png,b_cubic,256,2.5,81.2716,5,0.9026,139.6387,"176,88",0.0,0.0,138.3584,17.0101,9.6436,1.42
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_6016a762546377de75ffa928,right,yaw_plus_35,1772726531852012800,0.778,supported,1242.19,1763.87,1.006,"2206.2,990.7","1123.6,894.5","995,766","2116,900,180",0.501,0.2392,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_6016a762546377_right_yaw_plus_35.png,c,256,2.75,81.2646,5,0.9586,204.2311,"8,0",0.0,0.0,138.3552,16.2584,9.2175,1.56
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_d4b43c110801599d2031af14,left,yaw_minus_35,1772726544852805888,2.184,supported,440.96,595.0,0.958,"679.7,1836.5","327.8,1914.5","199,1786","584,1741,190",0.502,0.2228,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_d4b43c11080159_left_yaw_minus_35.png,a,190,1.5,122.1805,5,0.1693,254.9127,"136,168",0.3414,0.0,208.1382,4.8239,10.9397,3.4
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_d4b43c110801599d2031af14,left,yaw_minus_35,1772726544852805888,2.184,supported,440.96,595.0,0.958,"679.7,1836.5","327.8,1914.5","199,1786","584,1741,190",0.502,0.2228,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_d4b43c11080159_left_yaw_minus_35.png,b_bilinear,256,2.0,121.3382,5,0.0108,254.999,"160,224",0.35,0.0,211.2847,5.4261,9.1195,3.36
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_d4b43c110801599d2031af14,left,yaw_minus_35,1772726544852805888,2.184,supported,440.96,595.0,0.958,"679.7,1836.5","327.8,1914.5","199,1786","584,1741,190",0.502,0.2228,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_d4b43c11080159_left_yaw_minus_35.png,b_cubic,256,1.75,115.6718,5,0.0126,255.0005,"160,224",0.3607,0.0,211.2879,5.4261,9.1195,2.94
indoor_door_leaf_Tile_1,door_lock_edge,7.253 -2.371 1.959,img_d4b43c110801599d2031af14,left,yaw_minus_35,1772726544852805888,2.184,supported,440.96,595.0,0.958,"679.7,1836.5","327.8,1914.5","199,1786","584,1741,190",0.502,0.2228,0.0,indoor_door_leaf_Tile_1__door_lock_edge__img_d4b43c11080159_left_yaw_minus_35.png,c,256,2.0,121.2041,5,0.0,255.0,"160,224",0.3536,0.0,211.2853,5.4261,9.1195,3.36
indoor_door_leaf_Tile_1,door_window_bottom_rail,6.915 -2.334 2.070,img_9eeaefa15ae4a16e7247811e,right,yaw_plus_35,1772726530351940864,0.801,supported,1224.62,2159.36,1.239,"2094.3,763.9","1082.0,506.3","953,378","2022,691,145",0.501,0.2432,0.0,indoor_door_leaf_Tile_1__door_window_bottom_rail__img_9eeaefa15ae4a1_right_yaw_plus_35.png,a,145,11.625,22.5328,4,2.3077,129.9491,"72,88",0.0,0.0,125.2963,16.6123,13.5653,9.49
indoor_door_leaf_Tile_1,door_window_bottom_rail,6.915 -2.334 2.070,img_9eeaefa15ae4a16e7247811e,right,yaw_plus_35,1772726530351940864,0.801,supported,1224.62,2159.36,1.239,"2094.3,763.9","1082.0,506.3","953,378","2022,691,145",0.501,0.2432,0.0,indoor_door_leaf_Tile_1__door_window_bottom_rail__img_9eeaefa15ae4a1_right_yaw_plus_35.png,b_bilinear,256,9.0,52.556,5,1.0927,139.1331,"168,240",0.0,0.0,127.3138,20.9223,9.6891,4.17
indoor_door_leaf_Tile_1,door_window_bottom_rail,6.915 -2.334 2.070,img_9eeaefa15ae4a16e7247811e,right,yaw_plus_35,1772726530351940864,0.801,supported,1224.62,2159.36,1.239,"2094.3,763.9","1082.0,506.3","953,378","2022,691,145",0.501,0.2432,0.0,indoor_door_leaf_Tile_1__door_window_bottom_rail__img_9eeaefa15ae4a1_right_yaw_plus_35.png,b_cubic,256,1.25,32.3862,5,1.3269,133.9594,"0,8",0.0,0.0,127.3144,19.1458,8.8664,0.58
indoor_door_leaf_Tile_1,door_window_bottom_rail,6.915 -2.334 2.070,img_9eeaefa15ae4a16e7247811e,right,yaw_plus_35,1772726530351940864,0.801,supported,1224.62,2159.36,1.239,"2094.3,763.9","1082.0,506.3","953,378","2022,691,145",0.501,0.2432,0.0,indoor_door_leaf_Tile_1__door_window_bottom_rail__img_9eeaefa15ae4a1_right_yaw_plus_35.png,c,256,9.0,52.8303,5,1.2043,133.9522,"0,8",0.0,0.0,127.3136,20.9223,9.6891,4.17
indoor_door_leaf_Tile_1,door_window_bottom_rail,6.915 -2.334 2.070,img_c3ccda95371ed93a9732b302,left,yaw_minus_35,1772726556853466880,3.404,supported,279.2,353.37,0.897,"675.1,1711.5","354.0,1756.3","225,1628","574,1610,202",0.502,0.2067,0.0,indoor_door_leaf_Tile_1__door_window_bottom_rail__img_c3ccda95371ed9_left_yaw_minus_35.png,a,202,6.25,28.4178,5,0.0,255.0,"168,0",0.3981,0.0,190.1088,4.5952,16.4586,22.39
indoor_door_leaf_Tile_1,door_window_bottom_rail,6.915 -2.334 2.070,img_c3ccda95371ed93a9732b302,left,yaw_minus_35,1772726556853466880,3.404,supported,279.2,353.37,0.897,"675.1,1711.5","354.0,1756.3","225,1628","574,1610,202",0.502,0.2067,0.0,indoor_door_leaf_Tile_1__door_window_bottom_rail__img_c3ccda95371ed9_left_yaw_minus_35.png,b_bilinear,256,1.5,102.1093,5,0.0,255.0,"224,0",0.3874,0.0,190.5581,3.1982,9.0507,4.24
indoor_door_leaf_Tile_1,door_window_bottom_rail,6.915 -2.334 2.070,img_c3ccda95371ed93a9732b302,left,yaw_minus_35,1772726556853466880,3.404,supported,279.2,353.37,0.897,"675.1,1711.5","354.0,1756.3","225,1628","574,1610,202",0.502,0.2067,0.0,indoor_door_leaf_Tile_1__door_window_bottom_rail__img_c3ccda95371ed9_left_yaw_minus_35.png,b_cubic,256,1.25,100.343,5,0.0,255.0,"240,0",0.3935,0.0,190.5521,4.5514,12.8801,3.54
