region,tile,sample_id,image_id,camera_id,face_id,crop_x,crop_y,crop_w,crop_h,radius_px,return_range_median_m,returns_in_strict_band_of_window_nearest_frac,windows_r1_loose_violation_frac,has_roi,pixels,rgb_valid_px,lidar_return_px,current_support_px,strict_support_px,rejected_px,current_support_frac_all,current_support_frac_rgb,strict_support_frac_all,strict_support_frac_rgb,rejected_frac_of_current,loose_violation_frac_of_current,rejected_discontinuity_px,rejected_discontinuity_frac_of_current,rejected_interior_band_px,rejected_interior_band_frac_of_current,rejected_edge_erosion_px,rejected_edge_erosion_frac_of_current,roi_pixels,roi_rgb_valid_px,roi_lidar_return_px,roi_current_support_px,roi_strict_support_px,roi_rejected_px,roi_current_support_frac_all,roi_current_support_frac_rgb,roi_strict_support_frac_all,roi_strict_support_frac_rgb,roi_rejected_frac_of_current,roi_loose_violation_frac_of_current,roi_rejected_discontinuity_px,roi_rejected_discontinuity_frac_of_current,roi_rejected_interior_band_px,roi_rejected_interior_band_frac_of_current,roi_rejected_edge_erosion_px,roi_rejected_edge_erosion_frac_of_current
indoor_door_leaf_Tile_1,Tile_1,img_02167f65b42e301e9acb4f89::pitch_up_56,img_02167f65b42e301e9acb4f89,right,pitch_up_56,0,0,2912,1456,6,3.319459915161133,0.3332616474165261,0.06539094623401782,False,4239872,4087900,269695,3973299,508032,3465267,0.9371271113844947,0.9719658015117787,0.11982248520710059,0.12427701264708041,0.8721384924718729,0.7921525664189883,3147459,0.7921525664189883,114364,0.028783134619367937,203444,0.05120279143351658,,,,,,,,,,,,,,,,,,
indoor_door_leaf_Tile_1,Tile_1,img_02167f65b42e301e9acb4f89::yaw_minus_35,img_02167f65b42e301e9acb4f89,right,yaw_minus_35,0,0,1456,1680,6,4.640505313873291,0.29666962488997967,0.47925479429108353,True,2446080,2364718,547626,2351738,266174,2085564,0.9614313513867085,0.9945109734014795,0.10881655546834118,0.11256056747569901,0.8868181744735171,0.8282534023773056,1947835,0.8282534023773056,67538,0.028718335120663952,70191,0.029846436975547445,108267,103284,27434,103284,2875,100409,0.9539748953974896,1.0,0.026554721198518476,0.02783587002827156,0.9721641299717284,0.850364044769761,87829,0.850364044769761,8648,0.08373029704504086,3932,0.038069788156926535
indoor_door_leaf_Tile_1,Tile_1,img_02167f65b42e301e9acb4f89::yaw_plus_35,img_02167f65b42e301e9acb4f89,right,yaw_plus_35,0,0,1243,1864,6,4.301693439483643,0.16360932155704902,0.48802355323457314,True,2316952,2261703,632684,2259167,64921,2194246,0.9750599062906784,0.9988787210345479,0.02802000214074353,0.02870447622875329,0.9712633019161487,0.9252879490537884,2090380,0.9252879490537884,52993,0.02345687591931008,50873,0.022518476943050248,124815,124815,33423,124762,3525,121237,0.9995753715498938,0.9995753715498938,0.028241797860834035,0.028241797860834035,0.9717462047738895,0.8195043362562319,102243,0.8195043362562319,13638,0.10931213029608375,5356,0.04292973822157388
indoor_door_leaf_Tile_1,Tile_1,img_05cc6ae9bfec314d854c8837::pitch_up_56,img_05cc6ae9bfec314d854c8837,right,pitch_up_56,0,0,1116,1116,6,14.953282356262207,0.4646851198216608,0.026276277991960344,False,1245456,1202231,53830,1026553,178031,848522,0.8242386724219884,0.8538733404811555,0.14294443159774411,0.1480838541012501,0.8265739810803728,0.5732884712235997,588511,0.5732884712235997,124837,0.12160794425616603,135174,0.1316775656006071,,,,,,,,,,,,,,,,,,
indoor_door_leaf_Tile_1,Tile_1,img_05cc6ae9bfec314d854c8837::yaw_minus_35,img_05cc6ae9bfec314d854c8837,right,yaw_minus_35,0,0,926,1389,6,7.104509353637695,0.5135319673642482,0.2399490615373872,True,1286214,1244273,347104,1228982,113868,1115114,0.9555035165221339,0.9877108962422234,0.08852959149877081,0.09151367907203645,0.9073477072894477,0.6796478711649153,835275,0.6796478711649153,223678,0.18200266562081463,56161,0.04569717050371771,83916,83916,36418,83916,1604,82312,1.0,1.0,0.019114352447685782,0.019114352447685782,0.9808856475523142,0.5331760331760331,44742,0.5331760331760331,33877,0.40370132036798706,3693,0.04400829400829401
indoor_door_leaf_Tile_1,Tile_1,img_0cfe3b000d78b3cbe984aa45::pitch_down_56,img_0cfe3b000d78b3cbe984aa45,right,pitch_down_56,0,0,2912,1456,6,1.7358462810516357,1.0,0.0,False,4239872,4087900,14759,1906237,1906237,0,0.4495977708761019,0.4663120428581912,0.4495977708761019,0.4663120428581912,0.0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,
indoor_door_leaf_Tile_1,Tile_1,img_0cfe3b000d78b3cbe984aa45::pitch_up_56,img_0cfe3b000d78b3cbe984aa45,right,pitch_up_56,0,0,2335,1456,6,4.989421367645264,0.2930685333776363,0.06707336175642153,True,3399760,3302678,222709,3118718,370067,2748651,0.9173347530413911,0.9442997470537545,0.10885091888839213,0.11205058440453475,0.8813400249717993,0.7859559601092501,2451175,0.7859559601092501,100331,0.03217059060806395,197145,0.06321347425448534,244800,230724,18246,230507,43388,187119,0.9416135620915033,0.9990594823252024,0.17723856209150327,0.1880515247655207,0.8117714429496719,0.6694243558763943,154307,0.6694243558763943,14527,0.06302194727275094,18285,0.07932513980052666
indoor_door_leaf_Tile_1,Tile_1,img_0cfe3b000d78b3cbe984aa45::yaw_minus_35,img_0cfe3b000d78b3cbe984aa45,right,yaw_minus_35,0,0,1456,2912,6,4.657363414764404,0.34504299245757797,0.37869101727205845,True,4239872,4087900,613596,3712337,1760663,1951674,0.8755776117769593,0.9081281342498594,0.4152632437960391,0.4307010934709753,0.5257265167467285,0.4482968545150939,1664229,0.4482968545150939,191599,0.05161142428610334,95846,0.025818237945531345,385968,385968,95944,380016,65914,314102,0.9845790324586494,0.9845790324586494,0.17077581561165692,0.17077581561165692,0.8265494084459601,0.6068744473916887,230622,0.6068744473916887,56669,0.14912266851922024,26811,0.07055229253505116
indoor_door_leaf_Tile_1,Tile_1,img_0cfe3b000d78b3cbe984aa45::yaw_plus_35,img_0cfe3b000d78b3cbe984aa45,right,yaw_plus_35,0,0,1456,2912,6,8.455997467041016,0.6177006717965781,0.18103396742430045,False,4239872,4087900,565052,3677397,1566106,2111291,0.8673367969599082,0.899580958438318,0.36937577360825985,0.38310770811419065,0.5741264813127329,0.3957269231469977,1455245,0.3957269231469977,424387,0.11540418399210094,231659,0.06299537417363422,,,,,,,,,,,,,,,,,,
indoor_door_leaf_Tile_1,Tile_1,img_0fd1829e4d452fc9e06670fe::pitch_up_56,img_0fd1829e4d452fc9e06670fe,right,pitch_up_56,0,0,1131,1080,6,14.245028495788574,0.42407906558849956,0.030811065965313272,False,1221480,1178939,54537,1012650,154004,858646,0.8290352686904411,0.8589502934418151,0.12607983757409044,0.13062932009204886,0.8479198143484916,0.6272157211277342,635150,0.6272157211277342,99888,0.0986402014516368,123608,0.12206389176912062,,,,,,,,,,,,,,,,,,
indoor_door_leaf_Tile_1,Tile_1,img_0fd1829e4d452fc9e06670fe::yaw_minus_35,img_0fd1829e4d452fc9e06670fe,right,yaw_minus_35,0,0,855,1335,6,7.131777763366699,0.5347327573297219,0.22166050312643867,True,1141425,1101836,307174,1090256,98483,991773,0.9551709485949581,0.9894902689692477,0.08628074555927898,0.08938081529374607,0.9096698390102875,0.657621696188785,716976,0.657621696188785,220468,0.20221672708061225,54329,0.049831415740890214,98723,98723,38000,98723,1422,97301,1.0,1.0,0.014403938291988695,0.014403938291988695,0.9855960617080113,0.584726963321617,57726,0.584726963321617,35601,0.36061505424267903,3974,0.040254044143715244
