region,tile,point_index,n_views,luma_mean_raw,luma_cv_raw,luma_logstd_raw,luma_min_raw,luma_max_raw,rgb_std_mean_raw,range_median_m,n_views_learned,luma_cv_learned,luma_cv_raw_paired_learned,luma_logstd_learned,luma_logstd_raw_paired_learned,rgb_std_mean_learned,n_views_per_camera_mean,luma_cv_per_camera_mean,luma_cv_raw_paired_per_camera_mean,luma_logstd_per_camera_mean,luma_logstd_raw_paired_per_camera_mean,rgb_std_mean_per_camera_mean,n_views_per_camera_time_block_10s,luma_cv_per_camera_time_block_10s,luma_cv_raw_paired_per_camera_time_block_10s,luma_logstd_per_camera_time_block_10s,luma_logstd_raw_paired_per_camera_time_block_10s,rgb_std_mean_per_camera_time_block_10s,n_views_per_camera_time_block_20s,luma_cv_per_camera_time_block_20s,luma_cv_raw_paired_per_camera_time_block_20s,luma_logstd_per_camera_time_block_20s,luma_logstd_raw_paired_per_camera_time_block_20s,rgb_std_mean_per_camera_time_block_20s,n_views_per_camera_time_block_60s,luma_cv_per_camera_time_block_60s,luma_cv_raw_paired_per_camera_time_block_60s,luma_logstd_per_camera_time_block_60s,luma_logstd_raw_paired_per_camera_time_block_60s,rgb_std_mean_per_camera_time_block_60s,n_views_oracle_per_image,luma_cv_oracle_per_image,luma_cv_raw_paired_oracle_per_image,luma_logstd_oracle_per_image,luma_logstd_raw_paired_oracle_per_image,rgb_std_mean_oracle_per_image,n_views_oracle_per_image_tile_views,luma_cv_oracle_per_image_tile_views,luma_cv_raw_paired_oracle_per_image_tile_views,luma_logstd_oracle_per_image_tile_views,luma_logstd_raw_paired_oracle_per_image_tile_views,rgb_std_mean_oracle_per_image_tile_views
indoor_door_leaf_Tile_1,Tile_1,0,127,63.975,0.520099,0.461298,18.37,197.521,33.9082,6.02888,127,0.374293,0.520099,0.363233,0.461298,24.5592,127,0.522824,0.520099,0.466412,0.461298,38.3826,127,0.43738,0.520099,0.40218,0.461298,29.9191,127,0.441822,0.520099,0.407634,0.461298,30.387,127,0.534214,0.520099,0.453109,0.461298,39.5477,127,0.184127,0.520099,0.179036,0.461298,12.6207,127,0.184127,0.520099,0.179036,0.461298,12.6207
indoor_door_leaf_Tile_1,Tile_1,1,126,64.9136,0.51289,0.472228,19.37,155.484,33.8567,6.0459,126,0.357613,0.51289,0.372998,0.472228,23.8303,126,0.515401,0.51289,0.47673,0.472228,38.3113,126,0.430302,0.51289,0.408636,0.472228,29.7112,126,0.438845,0.51289,0.418683,0.472228,30.5085,126,0.528546,0.51289,0.471059,0.472228,39.6766,126,0.184197,0.51289,0.187183,0.472228,12.4697,126,0.184197,0.51289,0.187183,0.472228,12.4697
indoor_door_leaf_Tile_1,Tile_1,2,126,63.5796,0.512177,0.449602,18.441,197.521,33.1557,6.08086,126,0.366504,0.512177,0.354175,0.449602,24.0458,126,0.514801,0.512177,0.45411,0.449602,37.5255,126,0.430995,0.512177,0.393881,0.449602,29.3249,126,0.43566,0.512177,0.399359,0.449602,29.8007,126,0.526843,0.512177,0.443754,0.449602,38.6901,126,0.16763,0.512177,0.164028,0.449602,11.5337,126,0.16763,0.512177,0.164028,0.449602,11.5337
indoor_door_leaf_Tile_1,Tile_1,3,60,110.977,0.431318,0.596195,15.929,195.635,47.3212,3.04972,60,0.39844,0.431318,0.54714,0.596195,41.4168,60,0.428024,0.431318,0.592961,0.596195,52.3857,60,0.386521,0.431318,0.515705,0.596195,40.6811,60,0.402777,0.431318,0.522806,0.596195,43.3295,60,0.416519,0.431318,0.568893,0.596195,48.9087,60,0.136053,0.431318,0.153265,0.596195,10.6248,60,0.136053,0.431318,0.153265,0.596195,10.6248
indoor_door_leaf_Tile_1,Tile_1,4,120,66.4663,0.467595,0.426765,15.929,197.852,31.6843,6.12203,120,0.341343,0.467595,0.346481,0.426765,23.9707,120,0.470015,0.467595,0.431022,0.426765,35.8664,120,0.400685,0.467595,0.38234,0.426765,28.6897,120,0.400838,0.467595,0.384529,0.426765,28.8308,120,0.481995,0.467595,0.420013,0.426765,36.8459,120,0.182017,0.467595,0.189083,0.426765,13.1649,120,0.182017,0.467595,0.189083,0.426765,13.1649
indoor_door_leaf_Tile_1,Tile_1,5,133,62.1251,0.525419,0.483993,19.37,165.14,33.1089,6.13967,133,0.377671,0.525419,0.383808,0.483993,23.8252,133,0.528033,0.525419,0.488197,0.483993,37.4688,133,0.443137,0.525419,0.428514,0.483993,29.2823,133,0.452271,0.525419,0.436566,0.483993,30.0305,133,0.540115,0.525419,0.482373,0.483993,38.6538,133,0.206346,0.525419,0.209106,0.483993,13.406,133,0.206346,0.525419,0.209106,0.483993,13.406
indoor_door_leaf_Tile_1,Tile_1,6,116,68.339,0.475683,0.408719,18.837,197.624,33.1689,6.11566,116,0.338258,0.475683,0.324476,0.408719,24.6036,116,0.477938,0.475683,0.412404,0.408719,37.5276,116,0.405469,0.475683,0.36344,0.408719,29.8908,116,0.404167,0.475683,0.367253,0.408719,29.9204,116,0.49383,0.475683,0.404516,0.408719,38.9003,116,0.178558,0.475683,0.182818,0.408719,13.2154,116,0.178558,0.475683,0.182818,0.408719,13.2154
indoor_door_leaf_Tile_1,Tile_1,7,120,73.7805,0.48395,0.420225,23.641,203.923,36.1798,5.87043,120,0.323628,0.48395,0.309691,0.420225,24.6223,120,0.486013,0.48395,0.423371,0.420225,40.9262,120,0.406371,0.48395,0.368342,0.420225,31.7885,120,0.408806,0.48395,0.375447,0.420225,32.1502,120,0.506373,0.48395,0.421476,0.420225,42.9156,120,0.175647,0.48395,0.183635,0.420225,13.097,120,0.175647,0.48395,0.183635,0.420225,13.097
indoor_door_leaf_Tile_1,Tile_1,8,62,101.101,0.387236,0.497153,15.342,176.057,38.9638,3.15949,62,0.315293,0.387236,0.423016,0.497153,29.4884,62,0.384019,0.387236,0.493385,0.497153,43.1365,62,0.3351,0.387236,0.428244,0.497153,32.8006,62,0.336801,0.387236,0.428647,0.497153,33.474,62,0.375142,0.387236,0.474201,0.497153,39.9186,62,0.144121,0.387236,0.162657,0.497153,10.9304,62,0.144121,0.387236,0.162657,0.497153,10.9304
indoor_door_leaf_Tile_1,Tile_1,9,117,70.0059,0.425244,0.417296,19.299,161.968,30.2477,5.98333,117,0.289745,0.425244,0.322417,0.417296,21.3996,117,0.427438,0.425244,0.420081,0.417296,34.231,117,0.358753,0.425244,0.371685,0.417296,26.9144,117,0.372359,0.425244,0.384363,0.417296,28.1145,117,0.442391,0.425244,0.423917,0.417296,35.6368,117,0.182318,0.425244,0.194734,0.417296,13.475,117,0.182318,0.425244,0.194734,0.417296,13.475
