image_id,camera,tile,environment,timestamp_ns,time_s,log_gain,log_gain_raw,saturated_clamp,tile_offset,curve_log_gain,fitted_log_gain,residual,huber_weight
img_0013434cabcfe39de86e02cb,left,Tile_0,outdoor,1772726444346652928,64.003965952,-0.380966,-0.380966,0,-0.1144026145244325,-0.16982614699150367,-0.2842287615159362,-0.09673723848406385,1.0
img_00bf665bae8b75617aac7789,right,Tile_0,indoor,1772726549853083904,169.510396928,-0.337473,-0.337473,0,-0.1144026145244325,-0.2923719114765199,-0.40677452600095243,0.06930152600095241,1.0
img_00ec71ecfd73b6eb59d8f832,right,Tile_0,indoor,1772726468348113920,88.005426944,0.204984,0.204984,0,-0.1144026145244325,0.05745577179866267,-0.056946842725769824,0.26193084272576983,0.572670245470265
img_017105047612fa06bd54d2a9,left,Tile_0,outdoor,1772726596855841792,216.513154816,-0.141666,-0.141666,0,-0.1144026145244325,0.056890486955829156,-0.05751212756860334,-0.08415387243139665,1.0
img_01a908951bd4dc96cb442bce,left,Tile_0,outdoor,1772726586855243008,206.512556032,-0.39132,-0.39132,0,-0.1144026145244325,-0.008108488957189932,-0.12251110348162243,-0.2688088965183776,0.5580172454959837
img_02167f65b42e301e9acb4f89,right,Tile_0,indoor,1772726465847951872,85.505264896,0.248701,0.248701,0,-0.1144026145244325,0.01750053940485282,-0.09690207511957968,0.34560307511957966,0.4340239158696709
img_024ff4947bc3d3decbcf878c,right,Tile_0,indoor,1772726543852675840,163.509988864,-0.0775516,-0.0775516,0,-0.1144026145244325,-0.1600535075855925,-0.274456122110025,0.19690452211002502,0.7617905286917889
img_0270831497d17f59f1c3de3e,right,Tile_0,indoor,1772726598855995904,218.513308928,-0.347779,-0.347779,0,-0.1144026145244325,-0.18206039211078487,-0.29646300663521735,-0.05131599336478265,1.0
img_02ea8d71b98fade9b737af1e,left,Tile_0,covered,1772726456347391744,76.004704768,-0.154623,-0.154623,0,-0.1144026145244325,-0.10219893281700507,-0.21660154734143755,0.06197854734143754,1.0
img_03470cda035b5adeddb4a5b3,right,Tile_0,outdoor,1772726400343847936,20.00116096,-0.208186,-0.208186,0,-0.1144026145244325,-0.014116340062975893,-0.1285189545874084,-0.07966704541259162,1.0
img_03d3b8c62d66fac93b032a26,left,Tile_0,indoor,1772726569354202880,189.011515904,-0.0717058,-0.0717058,0,-0.1144026145244325,0.05013358840040859,-0.06426902612402391,-0.007436773875976091,1.0
img_03f32cc827b85f5858eb1527,left,Tile_0,indoor,1772726470848314112,90.505627136,-0.239616,-0.239616,0,-0.1144026145244325,-0.11596938919591182,-0.23037200372034433,-0.009243996279655664,1.0
img_046152e78c23ba2a63570a36,left,Tile_0,outdoor,1772726436346135808,56.003448832,-0.374443,-0.374443,0,-0.1144026145244325,-0.20319457688507497,-0.3175971914095075,-0.05684580859049254,1.0
img_0466fd896d0aec73619005f8,left,Tile_0,covered,1772726460347633920,80.004946944,-0.0781111,-0.0781111,0,-0.1144026145244325,-0.11030060195761629,-0.22470321648204877,0.14659211648204878,1.0
img_059735131c8240a4d502ecba,left,Tile_0,outdoor,1772726446346776064,66.004089088,-0.365912,-0.365912,0,-0.1144026145244325,-0.14320925928336442,-0.25761187380779693,-0.10830012619220314,1.0
img_05cc6ae9bfec314d854c8837,right,Tile_0,outdoor,1772726421845284864,41.502597888,-0.254658,-0.254658,0,-0.1144026145244325,0.04865468878919603,-0.06574792573523647,-0.18891007426476353,0.7940285905015854
img_066ac1dbdc61cd379421eeef,left,Tile_0,indoor,1772726568854172928,188.511485952,0.0486902,0.0486902,0,-0.1144026145244325,0.06124934178710845,-0.05315327273732405,0.10184347273732405,1.0
img_06c8139bc95f57cd809da4fb,right,Tile_0,covered,1772726481348893952,101.006206976,-0.218448,-0.218448,0,-0.1144026145244325,-0.014493060703865985,-0.12889567522829848,-0.08955232477170152,1.0
img_06fe18d7805639029a0909d7,right,Tile_0,covered,1772726457347432960,77.004745984,-0.258212,-0.258212,0,-0.1144026145244325,-0.029997964127050372,-0.14440057865148287,-0.11381142134851713,1.0
img_07354bc7c501761f73d5c2ad,right,Tile_0,covered,1772726485849161984,105.506475008,-0.291279,-0.291279,0,-0.1144026145244325,-0.1402551775909291,-0.2546577921153616,-0.03662120788463841,1.0
img_074273e7808b362c2a94f76a,left,Tile_0,indoor,1772726465847965952,85.505278976,-0.124731,-0.124731,0,-0.1144026145244325,-0.11814161380924926,-0.23254422833368177,0.10781322833368177,1.0
img_07ad9afb8ee9b4439797e520,right,Tile_0,outdoor,1772726430345854976,50.003168,-0.0802043,-0.0802043,0,-0.1144026145244325,0.09001591750480337,-0.02438669701962913,-0.055817602980370876,1.0
img_0808a922b5bfb00ee7a01908,right,Tile_0,stationary_unresolved,1772726383842921984,3.500235008,-0.0841405,-0.0841405,0,-0.1144026145244325,0.07685620225235848,-0.03754641227207402,-0.046594087727925976,1.0
img_0898f79cccd2c021fa397a68,left,Tile_0,outdoor,1772726451347102976,71.004416,-0.338011,-0.338011,0,-0.1144026145244325,-0.09206816145264461,-0.2064707759770771,-0.13154022402292287,1.0
img_08be8925fb80bbea018fd25a,left,Tile_0,stationary_unresolved,1772726599355994880,219.013307904,-0.141052,-0.141052,0,-0.1144026145244325,0.07505381909902822,-0.03934879542540427,-0.10170320457459574,1.0
