cam_signed_dist_to_plane_m,cam_to_door_centre_m,camera_id,face_id,image_id,in_roi_list,quad_any_inside,quad_fully_inside,sample_id,vis6_delta_p05,vis6_delta_p50,vis6_delta_p95,vis6_n_behind,vis6_n_front,vis6_n_lidar_in_quad,vis6_n_on_leaf,vis6_quad_pixels,vis6_quad_pixels_in_dilated_support,vis6_range_p05,vis6_range_p50,vis6_range_p95,vis6_t_plane_p50,vis6f_delta_p05,vis6f_delta_p50,vis6f_delta_p95,vis6f_n_behind,vis6f_n_front,vis6f_n_lidar_in_quad,vis6f_n_on_leaf,vis6f_quad_pixels,vis6f_quad_pixels_in_dilated_support,vis6f_range_p05,vis6f_range_p50,vis6f_range_p95,vis6f_t_plane_p50
-2.4196118316835173,2.4579847066660037,right,pitch_up_56,img_00bf665bae8b75617aac7789,False,False,False,img_00bf665bae8b75617aac7789::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.4196118316835173,2.4579847066660037,right,yaw_minus_35,img_00bf665bae8b75617aac7789,False,False,False,img_00bf665bae8b75617aac7789::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.274288466063256,5.300948747464869,right,pitch_up_56,img_00ec71ecfd73b6eb59d8f832,False,False,False,img_00ec71ecfd73b6eb59d8f832::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.274288466063256,5.300948747464869,right,yaw_minus_35,img_00ec71ecfd73b6eb59d8f832,False,False,False,img_00ec71ecfd73b6eb59d8f832::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.274288466063256,5.300948747464869,right,yaw_plus_35,img_00ec71ecfd73b6eb59d8f832,False,True,True,img_00ec71ecfd73b6eb59d8f832::yaw_plus_35,-0.12546877104495469,1.919656462939436,20.958980806437363,27392,5,33261,5509,78810,64164,5.216405391693115,7.313841819763184,26.2814998626709,5.339117520417736,-0.13316163425823485,-0.11283896158970297,2.563371173882184,4280,5,10085,5486,78810,60563,5.1987762451171875,5.320339202880859,7.868268108367917,5.334715467830484
-12.696038274881712,13.004806059046318,left,pitch_up_56,img_017105047612fa06bd54d2a9,False,False,False,img_017105047612fa06bd54d2a9::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.696038274881712,13.004806059046318,left,yaw_minus_35,img_017105047612fa06bd54d2a9,False,False,False,img_017105047612fa06bd54d2a9::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.696038274881712,13.004806059046318,left,yaw_plus_35,img_017105047612fa06bd54d2a9,False,True,True,img_017105047612fa06bd54d2a9::yaw_plus_35,-3.7932763299900345,-3.749874394248878,-3.071483115248954,17,9245,9272,10,14824,14824,9.20087628364563,9.27807331085205,9.90323977470398,13.01480797462943,-3.7933224737745967,-3.7501770118768274,-3.075437889848594,0,9213,9213,0,14824,14824,9.200734519958496,9.2777738571167,9.895127105712891,13.015018754005052
-10.081298495051051,10.08293817203463,left,pitch_up_56,img_01a908951bd4dc96cb442bce,False,False,False,img_01a908951bd4dc96cb442bce::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.081298495051051,10.08293817203463,left,yaw_plus_35,img_01a908951bd4dc96cb442bce,False,False,False,img_01a908951bd4dc96cb442bce::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
