idx,sample_id,side,capture_fraction,cam_to_door_centre_m,gap_pixels,gap_luma_mean,gap_luma_p90,leaf_region_pixels,leaf_region_luma_mean,in_roi_list
0,img_313927f8276bed83888b9791::yaw_minus_35,carport,0.0,7.52,5918,67.4,78.1,0,nan,False
1,img_1f7cf648acdfeca84393921f::yaw_minus_35,carport,0.0023,7.52,5798,67.2,78.1,0,nan,False
2,img_8448119d6dd039f747f28fad::yaw_minus_35,carport,0.0045,7.52,5798,67.4,78.1,0,nan,False
3,img_44688fc19520c97f04987182::yaw_minus_35,carport,0.0068,7.52,5798,67.3,78.8,0,nan,False
4,img_4a2e56357884866047e5d674::yaw_minus_35,carport,0.009,7.52,5798,67.2,78.1,0,nan,False
5,img_5f8884d4e0886ce2c7c3329d::yaw_minus_35,carport,0.0113,7.52,5798,67.2,78.2,0,nan,False
6,img_246e9ec9e0ed774cd0cbefb4::yaw_minus_35,carport,0.0136,7.52,5798,67.2,78.2,0,nan,False
7,img_0808a922b5bfb00ee7a01908::yaw_minus_35,carport,0.0158,7.52,5798,67.2,78.1,0,nan,False
8,img_50b466a226a3e1103ba42d6f::yaw_minus_35,carport,0.0181,7.52,5798,67.3,78.1,0,nan,False
9,img_5f5029f3630b2fb09e6d6efa::yaw_minus_35,carport,0.0204,7.52,5798,67.3,77.9,0,nan,False
10,img_5563e8df2be4dc830dc08c92::yaw_minus_35,carport,0.0226,7.52,5798,67.2,78.2,0,nan,False
11,img_998fac7e5f651da4c2cd8d17::yaw_minus_35,carport,0.0249,7.52,5798,67.3,78.1,0,nan,False
12,img_4bdcc685ea71836c64354033::yaw_minus_35,carport,0.0271,7.52,6068,67.5,77.9,0,nan,False
13,img_80940ca2f4c06ff631233746::yaw_minus_35,carport,0.0294,7.52,5798,67.3,77.8,0,nan,False
14,img_7cbdf15076430dd9350f81b8::yaw_minus_35,carport,0.0317,7.52,5918,67.2,77.8,0,nan,False
15,img_4e3d57a9706d9cb78afd5c41::yaw_minus_35,carport,0.0339,7.52,5899,67.3,77.9,0,nan,False
16,img_39a06855544f8de8351e1656::yaw_minus_35,carport,0.0362,7.52,5918,67.2,77.9,0,nan,False
17,img_cd4571ad8de26172a08ecd80::yaw_minus_35,carport,0.0385,7.52,5637,67.7,78.8,0,nan,False
18,img_f2e31727fc02a2394640f8b4::yaw_minus_35,carport,0.0407,7.51,5947,59.3,71.9,0,nan,False
19,img_1a415e4ff347474b2fe0e6fd::yaw_minus_35,carport,0.043,7.53,6626,52.6,66.9,0,nan,False
20,img_77ed34b0126642eb21004da8::yaw_minus_35,carport,0.0452,7.63,8081,56.8,68.9,0,nan,False
21,img_a845da47748e8a6ca297bb3a::yaw_minus_35,carport,0.0475,7.87,8162,37.1,53.9,0,nan,False
22,img_57c2604724963389dad6b8fc::yaw_plus_35,carport,0.0475,7.88,9403,35.2,65.5,0,nan,False
23,img_864756b6e6d7af01e546481e::yaw_minus_35,carport,0.0498,8.17,7075,63.0,79.9,0,nan,False
24,img_b2ca7d398dbb3a51d6b172e1::yaw_plus_35,carport,0.0498,8.18,6253,40.3,70.1,0,nan,False
25,img_3674d4aa9eeeccc919db54a9::yaw_minus_35,carport,0.052,8.47,5850,58.3,73.9,0,nan,False
26,img_0e90c061ce70226ad4b32bed::yaw_plus_35,carport,0.052,8.49,4976,48.3,70.6,0,nan,False
27,img_ce4c8b78f0d154af4ad15c0f::yaw_plus_35,carport,0.0543,8.74,4533,45.1,71.8,0,nan,False
28,img_46f7e3520c57796e33d0dd24::yaw_plus_35,carport,0.0566,8.91,3070,37.1,69.0,0,nan,False
29,img_4482606b56ce83da57f0a986::yaw_plus_35,carport,0.0588,9.09,2692,51.3,74.6,0,nan,False
30,img_7e1c9e745aed152b1e706429::yaw_minus_35,carport,0.0611,9.17,4352,51.6,62.9,0,nan,False
31,img_4767ec0db6e2111433779ace::yaw_plus_35,carport,0.0611,9.17,4466,55.4,75.9,0,nan,False
32,img_764fe29b4e1960f79bb29e3d::yaw_minus_35,carport,0.0633,9.21,3855,47.6,58.9,0,nan,False
33,img_4dc8f84b30561037eb7ae084::yaw_minus_35,carport,0.0656,9.17,4134,31.8,44.6,0,nan,False
34,img_e42f586216482cf4776c2f4f::yaw_minus_35,carport,0.0679,9.0,5296,28.3,41.3,0,nan,False
35,img_f4e71c9e7ff3353987c9c41a::yaw_minus_35,carport,0.0701,8.82,6986,28.9,43.2,0,nan,False
36,img_495d939ae647085d401c5718::yaw_minus_35,carport,0.0724,8.62,8469,30.7,41.7,0,nan,False
37,img_c6c64c84f33e7ba57d01e36f::yaw_minus_35,carport,0.0747,8.39,10534,28.9,43.7,0,nan,False
38,img_c77512e4e0ce2d4fa776ea2d::yaw_minus_35,carport,0.0769,8.22,13090,41.5,84.2,0,nan,False
39,img_f218d51dae29bd11fe08c9e2::yaw_minus_35,carport,0.0792,8.03,14698,52.4,105.9,0,nan,False
40,img_3a1483836f813dc9ad7e4edb::yaw_minus_35,carport,0.0814,7.91,15705,44.7,104.5,0,nan,False
41,img_88226fd046cc5356cc68c8ec::yaw_minus_35,carport,0.0837,7.87,18843,66.2,113.2,0,nan,True
42,img_9f8e6e6735bab2261cf49998::yaw_minus_35,carport,0.086,7.77,21551,64.7,113.6,0,nan,True
43,img_552ccaef249d70922a2b9ae7::yaw_minus_35,carport,0.0882,7.75,23456,62.0,108.2,0,nan,True
