idx,sample_id,side,capture_fraction,cam_to_door_centre_m,gap_pixels,gap_luma_mean,gap_luma_p90,leaf_region_pixels,leaf_region_luma_mean,in_roi_list,vis6_gap_px,vis6_gap_n,vis6_gap_delta_p50,vis6_gap_beyond,vis6_gap_on,vis6_gap_near,vis6_quad_px,vis6_quad_n,vis6_quad_delta_p50,vis6_quad_beyond,vis6_quad_on,vis6_quad_near,vis6f_gap_px,vis6f_gap_n,vis6f_gap_delta_p50,vis6f_gap_beyond,vis6f_gap_on,vis6f_gap_near,vis6f_quad_px,vis6f_quad_n,vis6f_quad_delta_p50,vis6f_quad_beyond,vis6f_quad_on,vis6f_quad_near,lidar_los,vis6_leafpoly_vs_leafplane_px,vis6_leafpoly_vs_leafplane_n,vis6_leafpoly_vs_leafplane_delta_p50,vis6_leafpoly_vs_leafplane_beyond,vis6_leafpoly_vs_leafplane_on,vis6_leafpoly_vs_leafplane_near,vis6f_leafpoly_vs_leafplane_px,vis6f_leafpoly_vs_leafplane_n,vis6f_leafpoly_vs_leafplane_delta_p50,vis6f_leafpoly_vs_leafplane_beyond,vis6f_leafpoly_vs_leafplane_on,vis6f_leafpoly_vs_leafplane_near
0,img_313927f8276bed83888b9791::yaw_minus_35,carport,0.0,7.52,5918,67.4,78.1,0,nan,False,5918,4072,0.4936770305002902,3603,0,0,9928,6789,0.46851634413467913,4783,1143,51,5918,3802,0.48523400345688117,3333,0,0,9928,6104,0.4489896200060657,4098,1143,51,clear,,,,,,,,,,,,
1,img_1f7cf648acdfeca84393921f::yaw_minus_35,carport,0.0023,7.52,5798,67.2,78.1,0,nan,False,5798,3988,0.49290661577703565,3566,0,0,9797,6699,0.46929099243677364,4763,1057,54,5798,3746,0.4862568474402127,3324,0,0,9797,6040,0.4503610366869024,4104,1057,54,clear,,,,,,,,,,,,
2,img_8448119d6dd039f747f28fad::yaw_minus_35,carport,0.0045,7.52,5798,67.4,78.1,0,nan,False,5798,3989,0.4942293135687521,3582,0,0,9797,6702,0.4695500425272279,4775,1064,55,5798,3739,0.4873131620731268,3332,0,0,9797,6039,0.4510465027924395,4112,1064,55,clear,,,,,,,,,,,,
3,img_44688fc19520c97f04987182::yaw_minus_35,carport,0.0068,7.52,5798,67.3,78.8,0,nan,False,5798,3990,0.4938499374507517,3573,0,0,9797,6702,0.4696926049172192,4784,1053,57,5798,3740,0.48727919229720484,3323,0,0,9797,6032,0.4510136100266955,4114,1053,57,clear,,,,,,,,,,,,
4,img_4a2e56357884866047e5d674::yaw_minus_35,carport,0.009,7.52,5798,67.2,78.1,0,nan,False,5798,3989,0.4939097262953114,3574,0,0,9797,6698,0.4694029852978492,4764,1063,52,5798,3750,0.48719461170532874,3335,0,0,9797,6050,0.4513622827237329,4116,1063,52,clear,,,,,,,,,,,,
5,img_5f8884d4e0886ce2c7c3329d::yaw_minus_35,carport,0.0113,7.52,5798,67.2,78.2,0,nan,False,5798,3990,0.4935493206871122,3574,0,0,9797,6698,0.4694519437917877,4767,1057,50,5798,3743,0.4868285434601196,3327,0,0,9797,6039,0.45105262490429077,4108,1057,50,clear,,,,,,,,,,,,
6,img_246e9ec9e0ed774cd0cbefb4::yaw_minus_35,carport,0.0136,7.52,5798,67.2,78.2,0,nan,False,5798,3990,0.4928880382124756,3570,0,0,9797,6701,0.4688727391737739,4763,1058,54,5798,3744,0.4860799434682441,3324,0,0,9797,6039,0.4499813687852203,4101,1058,54,clear,,,,,,,,,,,,
7,img_0808a922b5bfb00ee7a01908::yaw_minus_35,carport,0.0158,7.52,5798,67.2,78.1,0,nan,False,5798,3990,0.49387766910736897,3570,0,0,9797,6702,0.46964928047223475,4772,1056,56,5798,3745,0.4872055687545105,3325,0,0,9797,6039,0.45103240573672565,4109,1056,56,clear,,,,,,,,,,,,
8,img_50b466a226a3e1103ba42d6f::yaw_minus_35,carport,0.0181,7.52,5798,67.3,78.1,0,nan,False,5798,3990,0.4930566321715357,3569,0,0,9797,6703,0.4691349460825949,4770,1054,55,5798,3740,0.48589044913150925,3319,0,0,9797,6035,0.4501428253437858,4102,1054,55,clear,,,,,,,,,,,,
9,img_5f5029f3630b2fb09e6d6efa::yaw_minus_35,carport,0.0204,7.52,5798,67.3,77.9,0,nan,False,5798,3989,0.4931159295554597,3570,0,0,9797,6702,0.46911395183029336,4773,1053,55,5798,3740,0.48606639861346723,3321,0,0,9797,6036,0.4503557793775985,4107,1053,55,clear,,,,,,,,,,,,
10,img_5563e8df2be4dc830dc08c92::yaw_minus_35,carport,0.0226,7.52,5798,67.2,78.2,0,nan,False,5798,3989,0.4939313338138325,3578,0,0,9797,6698,0.46903874287928726,4765,1064,53,5798,3747,0.48729806293255606,3336,0,0,9797,6046,0.45110391735981326,4113,1064,53,clear,,,,,,,,,,,,
11,img_998fac7e5f651da4c2cd8d17::yaw_minus_35,carport,0.0249,7.52,5798,67.3,78.1,0,nan,False,5798,3989,0.4948433892242816,3589,0,0,9797,6701,0.4697298253063158,4780,1060,52,5798,3741,0.48762920643448826,3341,0,0,9797,6045,0.45138110889228855,4124,1060,52,clear,,,,,,,,,,,,
12,img_4bdcc685ea71836c64354033::yaw_minus_35,carport,0.0271,7.52,6068,67.5,77.9,0,nan,False,6068,4179,0.49317376578795,3676,0,0,10079,6903,0.4672127124992871,4837,1217,58,6068,3876,0.48349878902302823,3373,0,0,10079,6185,0.4477015987906565,4119,1217,58,clear,,,,,,,,,,,,
13,img_80940ca2f4c06ff631233746::yaw_minus_35,carport,0.0294,7.52,5798,67.3,77.8,0,nan,False,5798,3989,0.4938277194106675,3583,0,0,9797,6702,0.46955416322802934,4781,1059,57,5798,3731,0.48629454500634584,3325,0,0,9797,6030,0.45059140722215263,4109,1059,57,clear,,,,,,,,,,,,
14,img_7cbdf15076430dd9350f81b8::yaw_minus_35,carport,0.0317,7.52,5918,67.2,77.8,0,nan,False,5918,4071,0.4939184823124654,3620,0,0,9928,6792,0.46854082587426715,4807,1135,55,5918,3790,0.4844166629737372,3339,0,0,9928,6098,0.4490748625681804,4113,1135,55,clear,,,,,,,,,,,,
15,img_4e3d57a9706d9cb78afd5c41::yaw_minus_35,carport,0.0339,7.52,5899,67.3,77.9,0,nan,False,5899,4058,0.4924088535655238,3598,0,0,9915,6782,0.46904815754102946,4813,1118,52,5899,3782,0.4836210003964623,3322,0,0,9915,6083,0.44890605087311375,4114,1118,52,clear,,,,,,,,,,,,
16,img_39a06855544f8de8351e1656::yaw_minus_35,carport,0.0362,7.52,5918,67.2,77.9,0,nan,False,5918,4071,0.49368690576515917,3618,0,0,9928,6793,0.46849939539264085,4805,1136,55,5918,3790,0.4842205677597682,3337,0,0,9928,6097,0.448860896233672,4109,1136,55,clear,,,,,,,,,,,,
