image_id,camera_id,timestamp,source_path,raw_x,raw_y,raw_z,pos_diff_raw_minus_corrected_x,pos_diff_raw_minus_corrected_y,pos_diff_raw_minus_corrected_z,pos_correction_norm_m,corrected_x,corrected_y,corrected_z,mvs_center_x,mvs_center_y,mvs_center_z,rotation_correction_deg,raw_w2c_00,raw_w2c_01,raw_w2c_02,raw_w2c_10,raw_w2c_11,raw_w2c_12,raw_w2c_20,raw_w2c_21,raw_w2c_22,optimized_w2c_00,optimized_w2c_01,optimized_w2c_02,optimized_w2c_10,optimized_w2c_11,optimized_w2c_12,optimized_w2c_20,optimized_w2c_21,optimized_w2c_22,delta_w2c_00,delta_w2c_01,delta_w2c_02,delta_w2c_10,delta_w2c_11,delta_w2c_12,delta_w2c_20,delta_w2c_21,delta_w2c_22
1,1,1771971715.891788,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971715891788032.jpg,-0.003116,0.015365,-0.028114,0.005353962054557293,-0.015283111446176889,-0.004987498278386404,0.016944425166844985,-0.008469962054557294,0.03064811144617689,-0.023126501721613596,-2.775490836,4.253532657,-1.438167393,0.5386041868071868,0.8998262150506754,-0.43590883844607053,0.017212416221242588,0.016289543194675987,-0.005854617212482038,-0.9998501758962709,0.4359443009033201,0.8999717817920142,0.0018326178059301368,0.9035895421970126,-0.42792177412084653,0.0202211390742521,0.01948797367653957,-0.00609409076758766,-0.9997915187376311,0.4279557899061252,0.9037952297345807,0.00283277158289359,0.9999564958795241,-0.0029937303979744225,0.008834247373013271,0.0029834298652714913,0.9999948546271032,0.0011789255944767013,-0.008837731302905372,-0.0011525179489058402,0.9999602823151503
2,1,1771971716.3918211,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971716391821056.jpg,0.002815257553,0.015203549213,-0.027188535664,0.01131710593924451,-0.015510743721243614,-0.004100760499937239,0.019633550221598413,-0.00850184838624451,0.030714292934243614,-0.02308777516406276,-2.775522722,4.253598838,-1.438128666,0.5287798931696646,0.8997632139532504,-0.4360260309989613,0.017534511906812572,0.016677104060345865,-0.005793998626039132,-0.999844139743831,0.4360596668079699,0.8999154015079495,0.0020584246665835693,0.903499893290218,-0.42810466202884034,0.02035537211001459,0.01950953538277367,-0.00636344983564522,-0.9997894200957207,0.4281440421793967,0.9037067582215823,0.00260274680391892,0.9999576659444429,-0.0028039999539947115,0.008763783612108701,0.00279777254306282,0.9999958250319416,0.0007227637810559083,-0.00876577365320071,-0.0006982141103705354,0.9999613361072098
3,1,1771971716.8918521,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971716891852032.jpg,0.000296888665,0.01538773902,-0.028601567657,0.008762591232622352,-0.01527598527466889,-0.0055281241032509865,0.018458030429135047,-0.008465702567622352,0.03066372429466889,-0.023073443553749014,-2.775486576,4.25354827,-1.438114335,0.5308859372199638,0.8999213507689462,-0.4357060505163524,0.017372391131822706,0.016476478255485594,-0.005834673563876125,-0.9998472294549301,0.43574084969680293,0.9000701051183986,0.0019281539522170155,0.9036520456711312,-0.42778743622977067,0.02027041584032105,0.01946593119577764,-0.00625485847510462,-0.9997909552842222,0.4278247981090634,0.9038577245061395,0.00267506514365512,0.999957489458058,-0.002882315791690674,0.008758511997748568,0.002874327253149978,0.999995441724488,0.0009245393923774321,-0.008761136888528706,-0.000899325259974731,0.9999612160951532
4,1,1771971717.391916,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971717391916032.jpg,0.000199325525,0.015501571138,-0.028792280729,0.008670586092399457,-0.015105981464684781,-0.0056966151388024855,0.018325423957899167,-0.008471260567399457,0.03060755260268478,-0.023095665590197514,-2.775492134,4.253492098,-1.438136557,0.5382810782181557,0.899849489996339,-0.43585760980126054,0.017292753732726235,0.01647111461917808,-0.0056637908436818485,-0.9998483004218595,0.4358894329259778,0.8999978141371294,0.0020825013465444187,0.9036347020558763,-0.4278265970181341,0.02021702560395255,0.01949498714381231,-0.00606896386866304,-0.999791534848052,0.4278601064795015,0.9038404563646419,0.0028563476514023,0.9999563118186824,-0.002906967575393132,0.008883917688366954,0.0028986095284186334,0.9999953444037222,0.0009535374575568432,-0.00888664823090389,-0.0009277447907782352,0.9999600825897119
5,1,1771971717.891949,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971717891949056.jpg,-0.003666514402,0.015475128823,-0.028148872182,0.0047867759023554335,-0.015136597959501508,-0.005056093105689108,0.01666114938473192,-0.008453290304355434,0.030611726782501507,-0.023092779076310892,-2.775474164,4.253496272,-1.43813367,0.5386882249017941,0.8998397184163542,-0.4358713023783871,0.017455340825805854,0.016642244907460274,-0.005683531934944641,-0.9998453546169954,0.4359031048809088,0.8999910584154232,0.0021396091863638,0.9036634943410801,-0.4277677843493999,0.02017453018223794,0.01943921678671404,-0.0060870259865371,-0.9997925109568276,0.4278018301106108,0.9038681711330722,0.00281484752120124,0.9999561588712377,-0.0027011892344450464,0.008965707568279946,0.0026936202701145816,0.9999960056742027,0.0008561807526550652,-0.008967984462554783,-0.0008319930050825496,0.9999594406986313
6,1,1771971718.3919911,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971718391991040.jpg,0.001529289138,0.01489357991,-0.028327357061,0.009972829157871566,-0.015720286403469785,-0.005270619027304857,0.019348492213870264,-0.008443540019871566,0.030613866313469785,-0.023056738033695144,-2.775464414,4.253498412,-1.438097629,0.5259984076797602,0.8998952641219836,-0.43575755226418644,0.017431846016708413,0.016641582953992623,-0.005630364860915282,-0.9998456664447358,0.43578844790518567,0.9000464735980346,0.0021849567802167957,0.9036259180794097,-0.4278488951966977,0.02013760298817074,0.01936595738286007,-0.00615606066594916,-0.9997935099867984,0.4278845169783423,0.9038293123129181,0.00272292749966217,0.9999581071218252,-0.0026877840199139255,0.008749846764307885,0.002681636746813488,0.9999961493537977,0.0007142142079690482,-0.008751732725278606,-0.0006907203768681509,0.9999614642973328
7,1,1771971718.892033,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971718892033024.jpg,0.000724535699,0.015284804665,-0.027975888713,0.009183625614926694,-0.015341687578290575,-0.004864619034446127,0.018530269170611326,-0.008459089915926693,0.030626492243290573,-0.023111269678553873,-2.775479964,4.253511038,-1.438152161,0.5499648468478839,0.8997946547577382,-0.43596741437235864,0.017377942193565754,0.016588283212191496,-0.00561791582574922,-0.9998466221785458,0.4359981744565852,0.8999449164405873,0.002176980310007348,0.9036888496147981,-0.4277110490074544,0.02024158192498626,0.01948554671690836,-0.0061454695535381,-0.9997912515485969,0.42774615901376156,0.9038946242571142,0.00278059131559302,0.9999542336224327,-0.0028449860710712395,0.009134369974388129,0.0028379006772221186,0.9999956622426714,0.0007885528442746335,-0.009136573773566236,-0.0007625943203309916,0.9999579698515251
8,1,1771971719.3920581,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971719392058112.jpg,0.002876772353,0.016379868427,-0.02664992375,0.009131973354701284,-0.015849904227891898,-0.005026123159699525,0.018970353591875603,-0.006255201001701283,0.032229772654891894,-0.021623800590300474,-2.773276075,4.255114318,-1.436664692,0.5294571030542833,0.896709331533493,-0.44244915566391857,0.012293062801504495,0.0018524667440940057,-0.024021675799455577,-0.9997097215985986,0.44261602219951124,0.8964718086722365,-0.020720838501624206,0.8982222433659276,-0.4393875839181559,0.01163411454497859,-0.00243828357807716,-0.0314493311846079,-0.9995023733544777,0.4395348180700513,0.8977468967735875,-0.02931984033927518,0.9999939518317139,0.0005880155130221641,0.003427905737918934,-0.0005586470544613404,0.9999631882019288,-0.008562134926652289,-0.0034328142187065075,0.0085601681519759,0.9999574687494212
9,1,1771971719.8920991,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971719892099072.jpg,0.015154823101,-0.021101547479,0.152381891217,0.009191609598713235,-0.013682068912979517,-0.013120576406943751,0.021067373400714358,0.0059632135022867645,-0.007419478566020484,0.16550246762394374,-2.76105766,4.215465067,-1.249538424,0.3965669666930076,0.8559426809657522,-0.5106655454088243,-0.0811346265996741,-0.08587517625513158,0.014338752579696301,-0.9962027174614656,0.5098897733866709,0.8596598751289759,-0.03158034339463578,0.8589076180357363,-0.5063576741713643,-0.076678611671994,-0.08232679831111564,0.01126145533963532,-0.9965417592371503,0.5054700801828126,0.8622500132974195,-0.03201425633340951,0.9999763976622686,-0.00463193917365489,0.005074372659198614,0.004636185831833456,0.9999889121531688,-0.0008254402796598171,-0.0050704930061648695,0.0008489465319675082,0.999986784607907
10,1,1771971720.392117,G:/S1/USA/2026-02-24_16-21-11snow/camera/left/1771971720392116992.jpg,-0.027322076182,-0.096794856785,0.499156847132,0.008193402966598207,-0.014063722397633427,-0.013558069368529102,0.021183516819749348,-0.035515479148598206,-0.08273113438736657,0.5127149165005291,-2.802536353,4.140153411,-0.902325975,0.5484034011948233,0.8061471000554461,-0.5809820836263436,-0.112190336381467,-0.12587544108210527,0.0168813182217471,-0.9919024117459747,0.5781714507000323,0.8137412608441876,-0.059522550307691935,0.8106858227960999,-0.5753721844168749,-0.10832980253265606,-0.12523481904117267,0.01033246849751659,-0.99207332400104,0.5719307098041995,0.817826442158788,-0.06368024567134753,0.9999665126525726,-0.004305884068444786,0.006959377546980516,0.004340374662056123,0.9999783364798454,-0.004948506723617768,-0.006937919086100781,0.004978547317222367,0.9999635390079803
